phase,lang,mult_from,mult_to,batch,tokens,cum_tokens,params,bytes,exit_ppl
1,en,128,128,4,20480000,20480000,100933632,1211147355,2.29
2,es,128,160,4,20480000,40960000,126101504,1511046575,2.42
3,pl,160,192,4,20480000,61440000,151269376,1813044655,3.04
4,fr,192,224,4,20480000,81920000,176437248,2115042735,2.43
5,de,224,256,1,5120000,87040000,201605120,2417040815,2.73
6,cs,256,288,1,5120000,92160000,226772992,2719038895,3.48
7,da,288,320,1,5120000,97280000,251940864,3021036975,2.85
8,pt,320,352,1,5120000,102400000,277108736,3323035055,2.66
9,fi,352,384,1,5120000,107520000,302276608,3625033135,2.98
10,hu,384,416,1,5120000,112640000,327444480,3927031215,2.88
11,bg,416,448,1,5120000,117760000,352612352,4229029295,6.09
12,it,448,480,1,5120000,122880000,377780224,4531027407,2.89
13,et,480,512,1,5120000,128000000,402948096,4833025499,3.26
14,el,512,544,1,5120000,133120000,428115968,5135023579,6.36
15,sk,544,576,1,5120000,138240000,453283840,5437021659,3.58
16,sv,576,608,1,5120000,143360000,478451712,5739019763,3.08
17,ro,608,640,1,5120000,148480000,503619584,6041017843,3.26
18,nl,640,672,1,5120000,153600000,528787456,6343015923,3.07
19,sl,672,704,1,5120000,158720000,553955328,6645014015,3.5
20,lt,704,736,1,5120000,163840000,579123200,6947012095,3.83
