# FCS fixed-capacity matrix, source: .200 out/logs/fixedcap_matrix.txt (sha of run in scripts/ladder_fixedcap.sh lineage)
row,trained,bg,cs,da,de,el,en,es,et,fi,fr,hu,it,lt,nl,pl,pt,ro,sk,sl,sv
1,en,4873568.91,160.90,38.20,32.05,12355740.83,2.29,26.93,56.07,54.21,19.95,73.11,27.52,156.36,33.97,175.03,29.79,77.66,119.09,86.22,40.70
2,es,356699.96,134.94,37.89,28.71,1991733.08,13.48,2.15,48.00,48.94,20.19,64.03,18.68,100.91,27.66,121.22,12.23,63.79,91.52,63.75,37.53
3,pl,10456.25,49.47,36.77,33.63,109.00,22.76,22.54,46.96,55.30,32.38,57.49,30.75,53.58,37.34,2.12,29.44,50.10,42.62,37.53,40.36
4,fr,235727.87,182.92,35.71,26.63,1561.77,11.14,20.85,51.95,54.88,2.08,89.21,21.63,127.44,27.11,93.10,26.69,70.75,117.66,67.29,42.00
5,de,268179.43,145.17,30.50,2.15,17431.31,10.90,17.46,46.12,43.32,14.38,75.70,20.14,115.57,22.91,111.49,22.11,62.63,97.70,61.72,29.73
6,cs,24830.50,2.16,43.68,28.15,2256.36,24.39,30.33,60.25,75.33,34.90,62.63,32.13,55.12,39.95,50.62,35.53,55.31,10.78,25.81,50.13
7,da,687958.70,87.59,2.19,18.67,210706.58,10.45,16.60,39.26,38.71,15.71,56.60,17.84,86.74,20.74,73.99,20.53,47.97,68.29,49.95,15.35
8,pt,323844.84,162.64,27.65,24.99,31882.90,11.63,9.55,46.93,45.88,19.55,68.22,18.32,133.86,25.65,127.38,2.11,66.23,100.57,64.77,34.15
9,fi,781172.09,115.77,21.02,18.23,79129.90,11.31,14.92,28.74,2.16,14.17,54.90,16.32,89.70,19.16,85.75,15.18,45.47,85.94,49.42,23.63
10,hu,600.06,64.83,42.94,32.14,66.29,25.46,29.43,53.76,50.31,35.30,2.00,33.47,59.05,36.73,57.48,34.08,54.64,57.85,50.25,48.34
11,bg,1.54,64.35,30.19,25.54,898.44,20.49,21.97,36.19,43.76,25.83,37.89,23.64,52.00,25.70,61.64,25.62,37.99,51.48,42.52,32.56
12,it,752665.23,94.57,31.87,23.99,128178.36,13.56,17.69,41.44,38.66,17.76,47.16,2.17,75.64,26.48,88.97,19.71,51.99,67.52,51.07,33.14
13,et,44985.63,58.55,40.81,32.30,173.30,26.20,28.63,2.28,33.06,31.57,57.23,23.21,44.17,33.67,52.66,30.86,44.07,56.39,42.34,40.01
14,el,64413.24,201.65,32.89,28.70,1.59,12.11,22.15,33.05,64.83,26.31,188.33,16.87,70.39,22.13,99.08,30.13,41.87,126.69,43.06,50.32
15,sk,22837.28,13.00,44.26,37.29,2024.90,29.14,30.83,49.39,54.90,39.36,55.58,31.82,51.09,43.56,46.33,34.47,53.01,2.12,24.13,46.72
16,sv,728330.38,116.79,14.27,21.34,444637.50,11.34,19.51,42.95,38.50,18.60,76.82,21.58,91.48,22.71,78.40,24.26,52.17,74.29,55.98,2.22
17,ro,88478.35,61.33,42.43,33.82,48.86,22.48,21.43,53.18,58.84,27.71,48.53,24.03,53.33,34.42,53.60,26.89,1.98,54.73,45.23,39.46
18,nl,20528902.75,107.94,28.37,22.85,9637.33,11.67,21.18,50.06,49.46,17.65,66.01,22.96,93.10,2.19,106.20,26.25,40.54,85.93,61.99,32.28
19,sl,61488.34,40.22,36.23,31.29,214.29,22.13,25.91,43.84,47.15,28.91,57.73,26.14,48.92,26.00,46.97,30.90,42.45,32.19,2.20,38.69
20,lt,18612.86,59.44,41.06,33.06,10927.74,29.02,26.81,49.03,52.94,33.00,56.75,28.05,2.13,38.17,59.98,29.92,47.16,51.37,30.11,44.89
