checkpoint,eval_lang,ppl
en,en,2.31
en,es,27.28
en,pl,152.77
en,fr,20.0
en,de,32.5
en,cs,170.08
en,da,38.79
en,pt,28.46
en,fi,55.14
en,hu,79.32
en,bg,841619.32
en,it,25.5
en,et,57.72
en,el,943956.85
en,sk,119.5
en,sv,42.13
en,ro,66.36
en,nl,33.44
en,sl,84.75
en,lt,135.55
es,en,6.92
es,es,2.44
es,pl,163.32
es,fr,21.16
es,de,42.14
es,cs,159.29
es,da,48.53
es,pt,10.7
es,fi,67.55
es,hu,77.12
es,bg,359090.65
es,it,18.46
es,et,60.97
es,el,1690881.03
es,sk,115.45
es,sv,49.34
es,ro,53.65
es,nl,42.05
es,sl,82.09
es,lt,113.81
pl,en,14.28
pl,es,16.16
pl,pl,3.01
pl,fr,37.22
pl,de,47.86
pl,cs,65.91
pl,da,50.99
pl,pt,31.03
pl,fi,81.22
pl,hu,113.26
pl,bg,379.84
pl,it,32.06
pl,et,67.13
pl,el,872.61
pl,sk,48.99
pl,sv,56.7
pl,ro,53.81
pl,nl,45.89
pl,sl,38.23
pl,lt,70.86
fr,en,9.3
fr,es,13.36
fr,pl,40.52
fr,fr,2.42
fr,de,39.2
fr,cs,143.44
fr,da,44.49
fr,pt,25.21
fr,fi,72.28
fr,hu,95.43
fr,bg,13635.88
fr,it,23.65
fr,et,64.92
fr,el,481936.37
fr,sk,106.61
fr,sv,49.2
fr,ro,53.33
fr,nl,38.62
fr,sl,89.77
fr,lt,101.28
de,en,11.47
de,es,21.32
de,pl,56.38
de,fr,10.57
de,de,2.73
de,cs,155.51
de,da,32.66
de,pt,32.41
de,fi,63.97
de,hu,123.06
de,bg,5700.31
de,it,29.75
de,et,63.9
de,el,83085.95
de,sk,118.17
de,sv,34.51
de,ro,76.26
de,nl,25.09
de,sl,81.05
de,lt,105.05
cs,en,16.39
cs,es,22.53
cs,pl,23.93
cs,fr,17.92
cs,de,13.55
cs,cs,3.48
cs,da,39.75
cs,pt,27.27
cs,fi,66.54
cs,hu,71.27
cs,bg,419.53
cs,it,26.87
cs,et,52.97
cs,el,867.42
cs,sk,11.52
cs,sv,44.86
cs,ro,40.28
cs,nl,36.55
cs,sl,24.11
cs,lt,64.21
da,en,11.21
da,es,21.48
da,pl,73.62
da,fr,14.33
da,de,12.04
da,cs,26.49
da,da,2.85
da,pt,28.49
da,fi,64.71
da,hu,98.59
da,bg,88307.97
da,it,27.2
da,et,48.84
da,el,208853.31
da,sk,43.18
da,sv,14.39
da,ro,58.84
da,nl,22.35
da,sl,53.12
da,lt,90.74
pt,en,13.32
pt,es,6.72
pt,pl,74.95
pt,fr,14.25
pt,de,19.62
pt,cs,40.89
pt,da,14.57
pt,pt,2.66
pt,fi,73.25
pt,hu,83.12
pt,bg,173356.73
pt,it,17.31
pt,et,60.79
pt,el,3960102.6
pt,sk,52.51
pt,sv,32.56
pt,ro,43.65
pt,nl,36.38
pt,sl,53.49
pt,lt,78.78
fi,en,21.97
fi,es,24.13
fi,pl,101.96
fi,fr,29.79
fi,de,26.39
fi,cs,78.25
fi,da,25.65
fi,pt,16.88
fi,fi,2.98
fi,hu,117.8
fi,bg,207831.21
fi,it,26.92
fi,et,28.52
fi,el,3775159.96
fi,sk,86.29
fi,sv,35.42
fi,ro,73.13
fi,nl,35.43
fi,sl,63.94
fi,lt,84.17
hu,en,28.12
hu,es,27.5
hu,pl,82.92
hu,fr,31.37
hu,de,31.87
hu,cs,51.95
hu,da,27.53
hu,pt,21.52
hu,fi,21.16
hu,hu,2.88
hu,bg,12324.35
hu,it,33.32
hu,et,45.49
hu,el,202257.93
hu,sk,54.79
hu,sv,40.12
hu,ro,57.42
hu,nl,36.81
hu,sl,59.07
hu,lt,81.11
bg,en,22.31
bg,es,23.07
bg,pl,60.62
bg,fr,26.0
bg,de,23.46
bg,cs,52.9
bg,da,27.23
bg,pt,21.71
bg,fi,26.97
bg,hu,10.38
bg,bg,6.09
bg,it,24.36
bg,et,35.11
bg,el,225.47
bg,sk,49.48
bg,sv,33.29
bg,ro,46.82
bg,nl,25.22
bg,sl,42.77
bg,lt,54.73
it,en,19.86
it,es,15.56
it,pl,97.71
it,fr,20.4
it,de,31.57
it,cs,93.22
it,da,29.91
it,pt,14.16
it,fi,38.2
it,hu,39.72
it,bg,45.84
it,it,2.89
it,et,51.17
it,el,11402.6
it,sk,81.31
it,sv,44.78
it,ro,43.75
it,nl,43.6
it,sl,52.62
it,lt,80.7
et,en,25.07
et,es,28.3
et,pl,87.16
et,fr,28.72
et,de,31.53
et,cs,71.16
et,da,30.75
et,pt,24.8
et,fi,21.21
et,hu,38.73
et,bg,96.75
et,it,12.53
et,et,3.26
et,el,12295.16
et,sk,63.93
et,sv,35.57
et,ro,51.36
et,nl,38.71
et,sl,52.44
et,lt,62.76
el,en,20.89
el,es,24.02
el,pl,79.15
el,fr,26.23
el,de,25.58
el,cs,77.27
el,da,28.44
el,pt,23.64
el,fi,23.93
el,hu,51.43
el,bg,92.08
el,it,10.36
el,et,8.62
el,el,6.36
el,sk,65.57
el,sv,33.8
el,ro,50.6
el,nl,28.11
el,sl,46.6
el,lt,56.43
sk,en,31.25
sk,es,27.03
sk,pl,31.11
sk,fr,32.06
sk,de,37.71
sk,cs,9.51
sk,da,31.46
sk,pt,25.11
sk,fi,48.67
sk,hu,47.65
sk,bg,228.79
sk,it,17.65
sk,et,21.8
sk,el,23.03
sk,sk,3.58
sk,sv,43.01
sk,ro,45.83
sk,nl,41.89
sk,sl,21.41
sk,lt,63.37
sv,en,19.39
sv,es,24.42
sv,pl,89.54
sv,fr,22.3
sv,de,22.2
sv,cs,55.27
sv,da,9.2
sv,pt,24.52
sv,fi,35.73
sv,hu,66.57
sv,bg,1351.72
sv,it,16.36
sv,et,24.85
sv,el,93.39
sv,sk,26.76
sv,sv,3.08
sv,ro,55.65
sv,nl,24.79
sv,sl,47.65
sv,lt,78.74
ro,en,22.1
ro,es,19.02
ro,pl,72.59
ro,fr,23.16
ro,de,36.13
ro,cs,72.53
ro,da,24.99
ro,pt,21.47
ro,fi,64.92
ro,hu,103.73
ro,bg,203.81
ro,it,14.27
ro,et,31.95
ro,el,40.4
ro,sk,39.21
ro,sv,18.0
ro,ro,3.26
ro,nl,35.29
ro,sl,46.84
ro,lt,65.66
nl,en,17.86
nl,es,24.91
nl,pl,118.02
nl,fr,22.47
nl,de,20.25
nl,cs,109.01
nl,da,20.88
nl,pt,29.51
nl,fi,56.04
nl,hu,96.64
nl,bg,10606.09
nl,it,21.24
nl,et,37.63
nl,el,287.0
nl,sk,65.23
nl,sv,17.26
nl,ro,14.51
nl,nl,3.07
nl,sl,71.4
nl,lt,101.19
sl,en,27.84
sl,es,26.9
sl,pl,51.21
sl,fr,33.19
sl,de,35.69
sl,cs,35.3
sl,da,32.62
sl,pt,28.07
sl,fi,59.69
sl,hu,80.44
sl,bg,614.03
sl,it,21.57
sl,et,35.38
sl,el,55.4
sl,sk,21.15
sl,sv,27.31
sl,ro,19.01
sl,nl,16.56
sl,sl,3.5
sl,lt,59.24
lt,en,31.07
lt,es,26.51
lt,pl,62.1
lt,fr,32.27
lt,de,34.71
lt,cs,61.54
lt,da,33.92
lt,pt,26.92
lt,fi,51.01
lt,hu,73.88
lt,bg,230.22
lt,it,22.38
lt,et,35.1
lt,el,63.66
lt,sk,45.16
lt,sv,30.9
lt,ro,22.78
lt,nl,24.4
lt,sl,20.39
lt,lt,3.83
