lang,acquisition_exit_window_crop,val_stream_diagonal,ratio,pct
pl,3.04,3.01,0.9901,-0.99
fr,2.43,2.42,0.9959,-0.41
de,2.73,2.73,1.0,0.0
cs,3.48,3.48,1.0,0.0
da,2.85,2.85,1.0,0.0
pt,2.66,2.66,1.0,0.0
fi,2.98,2.98,1.0,0.0
hu,2.88,2.88,1.0,0.0
bg,6.09,6.09,1.0,0.0
it,2.89,2.89,1.0,0.0
et,3.26,3.26,1.0,0.0
el,6.36,6.36,1.0,0.0
sk,3.58,3.58,1.0,0.0
sv,3.08,3.08,1.0,0.0
ro,3.26,3.26,1.0,0.0
nl,3.07,3.07,1.0,0.0
sl,3.5,3.5,1.0,0.0
lt,3.83,3.83,1.0,0.0
es,2.42,2.44,1.0083,0.83
en,2.29,2.31,1.0087,0.87
