lang,acquisition_exit,routed_p20,ratio,pct
fr,2.43,2.41,0.9918,-0.82
sv,3.08,3.08,1.0,0.0
nl,3.07,3.1,1.0098,0.98
el,6.36,6.47,1.0173,1.73
bg,6.09,6.24,1.0246,2.46
en,2.29,2.36,1.0306,3.06
it,2.89,2.98,1.0311,3.11
da,2.85,2.95,1.0351,3.51
es,2.42,2.51,1.0372,3.72
pl,3.04,3.17,1.0428,4.28
cs,3.48,3.63,1.0431,4.31
fi,2.98,3.11,1.0436,4.36
et,3.26,3.43,1.0521,5.21
lt,3.83,4.04,1.0548,5.48
de,2.73,2.88,1.0549,5.49
sl,3.5,3.71,1.06,6.0
sk,3.58,3.85,1.0754,7.54
ro,3.26,3.51,1.0767,7.67
pt,2.66,2.87,1.0789,7.89
hu,2.88,3.11,1.0799,7.99
