phase,era,arm,domain,ppl,masked_ppl,base_ppl,real_joint_ppl,real_damage_x,f_log,f_linear,gate
1,en,A,en,20.0786,2.3221,2.3221,31.07,13.38,0.8317,0.6177,
1,en,C,en,2.3221,,2.3221,31.07,,,,
5,de,A,de,21.0599,2.7416,2.7416,34.71,12.661,0.8032,0.573,
5,de,A,en,23.5654,11.1947,11.1946,31.07,2.775,0.7292,0.6224,
5,de,C,de,2.7416,,2.7416,34.71,,,,
5,de,C,en,11.1946,,11.1946,31.07,,,,
8,pt,A,en,21.9439,13.2621,13.262,31.07,2.343,0.5915,0.4875,
8,pt,A,pt,20.7758,2.7167,2.7168,26.92,9.909,0.887,0.7461,
8,pt,C,en,13.262,,13.262,31.07,,,,
8,pt,C,pt,2.7168,,2.7168,26.92,,,,
11,bg,A,bg,149.2974,6.1443,6.1444,230.22,37.469,0.8805,0.6389,
11,bg,A,en,25.2567,22.1607,22.1613,31.07,1.402,,,G4-not-defined
11,bg,C,bg,6.1444,,6.1444,230.22,,,,
11,bg,C,en,22.1613,,22.1613,31.07,,,,
14,el,A,el,186.7578,6.5178,6.5177,63.66,9.767,1.4722,3.1542,
14,el,A,en,27.6143,20.6855,20.6857,31.07,1.502,,,G4-not-defined
14,el,C,el,6.5177,,6.5177,63.66,,,,
14,el,C,en,20.6857,,20.6857,31.07,,,,
17,ro,A,en,25.3624,21.5279,21.5287,31.07,1.443,,,G4-not-defined
17,ro,A,ro,19.1819,3.2847,3.2848,22.78,6.935,0.9112,0.8154,
17,ro,C,en,21.5287,,21.5287,31.07,,,,
17,ro,C,ro,3.2848,,3.2848,22.78,,,,
19,sl,A,en,29.2797,27.17,27.1684,31.07,1.144,,,G4-not-defined
19,sl,A,sl,9.933,3.3868,3.3868,20.39,6.02,0.5994,0.385,
19,sl,C,en,27.1684,,27.1684,31.07,,,,
19,sl,C,sl,3.3868,,3.3868,20.39,,,,
