router ckpt=out/bdh_europarl_ladGR-lt_last.pt | routes=[2252, 4504, 6756, 9008, 11260, 13512, 15764, 18016, 20268, 22520, 24772, 27024, 29276, 31528, 33780, 36032, 38284, 40536, 42788, 45040] n/head | window=128 tok | 40 crops/domain

confusion (rows=true domain, cols=routed expert):
                 bg       cs       da       de       el       es       et       fi       fr       hu       it       lt       nl       pl       pt       ro       sk       sl       sv
       bg         0        0        0        0        0        0        0        0        0        0        0        0       40        0        0        0        0        0        0        0
       cs         0        0        0        0        0        0        0       40        0        0        0        0        0        0        0        0        0        0        0        0
       da         0        0        0        0        0        0        0        0       40        0        0        0        0        0        0        0        0        0        0        0
       de         0        0        0        0        0        0       40        0        0        0        0        0        0        0        0        0        0        0        0        0
       el         0        0        0        0        0        0        0        0        0        0        0        0        0        0        0       40        0        0        0        0
       es         0        0        0        0       38        0        0        0        0        2        0        0        0        0        0        0        0        0        0        0
       et         0        0        0        0        0        0        0        0        0        0        0        0        0        7       33        0        0        0        0        0
       fi         0        0        0        0        0        0        0        0        0        0       40        0        0        0        0        0        0        0        0        0
       fr         0        0        0        0        0       40        0        0        0        0        0        0        0        0        0        0        0        0        0        0
       hu         0        0        0        0        0        0        0        0        0        0        0       40        0        0        0        0        0        0        0        0
       it         0        0        0        0        0        0        0        0        0        0        0        0        0       40        0        0        0        0        0        0
       lt         0        0        0        0        0        0        0        6        0        0        0        2        9        0        4       13        0        4        0        2
       nl         0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0       40        0
       pl         0        0        0        0        0       40        0        0        0        0        0        0        0        0        0        0        0        0        0        0
       pt         0        0        0        0        0        0        0        0        0       40        0        0        0        0        0        0        0        0        0        0
       ro         0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0       40        0        0
       sk         0        0        0        0        0        0        0        0        0        0        0        0        0        0        0       40        0        0        0        0
       sl         0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0       40
       sv         0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0       40        0        0        0

   domain   routed
       bg     3.52
       cs     8.21
       da     3.61
       de     4.66
       el     3.42
       es     6.23
       et    10.74
       fi     3.49
       fr     5.86
       hu     5.92
       it     4.63
       lt    55.10
       nl     3.45
       pl    14.44
       pt     3.22
       ro     3.42
       sk     4.75
       sl     3.99
       sv     3.82

joint full-width reference: ppl 54.96  (served positions only)
