router ckpt=out/bdh_europarl_poc-ra2-a05-p3_best.pt | routes=[256, 512, 768, 1024, 1280, 1536, 1792, 2048, 2304, 2560, 2816, 3072, 3328, 3584, 3840, 4096, 4352, 4608, 4864, 5120, 5376, 5632] n/head | window=128 tok | 40 crops/domain

confusion (rows=true domain, cols=routed expert):
                 bg       cs       da       de       el       en       es       et       fi       fr       hu       it       lt       nl       pl       pt       ro       sk       sl
       bg        29       10        1        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0
       cs         6        5        1        0        0        0        0        0        2        3        0        0        0        0        0       12        9        2        0        0        0        0
       da         0        0        0        0        0        0        0        5        5       18        0        0        0        0        6        5        1        0        0        0        0        0
       de         0        0        0        0        0        0        0        0        0        0        0        0        5       35        0        0        0        0        0        0        0        0
       el        28       12        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0
       en         0        0        0        0        1       39        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0
       es         0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0       10       30
       et         0        0        0        0        0        0        0        4       11       19        0        0        0        0        1        5        0        0        0        0        0        0
       fi         2        0        0        0        0        0        1        4        8       14        0        0        0        0        0        9        2        0        0        0        0        0
       fr         0        0        0        0        1        0        1        3        4        3        0        0        0        0        1        8       14        2        3        0        0        0
       hu         2        7        0        0        0        0        2        0        4        1        0        0        0        0        3        6       12        1        2        0        0        0
       it         0        0        1        0        0        0        0        0        0        1        0        0        0        0        0       11       23        4        0        0        0        0
       lt         9        7        8        0        0        0        2        2        1        2        0        0        0        0        0        8        1        0        0        0        0        0
       nl         0        0        0        0        0        0        0       14        8       12        2        0        0        0        1        2        1        0        0        0        0        0
       pl         7        9       18        0        0        0        0        0        2        1        0        0        0        0        0        3        0        0        0        0        0        0
       pt         0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        5       12        5        9        8        1
       ro         0        1        1        2        0        0        0        1        4        1        0        0        0        0        0        9       18        3        0        0        0        0
       sk         5        7        1        0        0        0        0        0        0        1        0        0        0        0        0       12       12        1        1        0        0        0
       sl         9        4        4        0        0        0        0        2        4        2        0        0        0        0        0       12        3        0        0        0        0        0

   domain   routed
       bg 113165.24
       cs   123.56
       da    24.35
       de     2.50
       el 85997.29
       en     2.42
       es     2.42
       et    34.68
       fi    37.56
       fr    17.42
       hu    63.55
       it    15.49
       lt    93.44
       nl    19.19
       pl    93.83
       pt    11.99
       ro    53.13
       sk    87.94
       sl    52.89

joint full-width reference: ppl 157.80  (served positions only)
