router ckpt=out/bdh_europarl_poc-ra2-a09-p3_best.pt | routes=[256, 512, 768, 1024, 1280, 1536, 1792, 2048, 2304, 2560, 2816, 3072, 3328, 3584, 3840, 4096, 4352, 4608, 4864, 5120, 5376, 5632] n/head | window=128 tok | 40 crops/domain

confusion (rows=true domain, cols=routed expert):
                 bg       cs       da       de       el       en       es       et       fi       fr       hu       it       lt       nl       pl       pt       ro       sk       sl
       bg        29       10        1        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0
       cs         8        7        4        0        3        0        0        5        5        3        0        0        0        0        0        0        2        2        0        0        1        0
       da         0        0        0        0        0        0        1        1       13        2        2        0        0        0       10        9        2        0        0        0        0        0
       de         0        0        0        0        0        0        0        0        0        0        0        1        6       33        0        0        0        0        0        0        0        0
       el        28       12        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0
       en         0        0        0        0        1       39        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0
       es         0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        3       36
       et         0        0        0        0        0        0        3       13       12        3        0        0        0        0        1        4        4        0        0        0        0        0
       fi         0        0        0        0        0        0        2        7       11       14        1        0        0        0        0        3        2        0        0        0        0        0
       fr         0        0        0        1        1        3        0        0        0        0        0        0        0        0        0        5       21        9        0        0        0        0
       hu         0        0        0        0        0        0        1       12       11        4        0        0        0        0        0        0       11        1        0        0        0        0
       it         0        0        0        0        0        0        0        1        0        1        0        0        0        0        0        1       12       22        1        1        0        1
       lt        10        7       10        1        0        0        0        3        2        2        0        0        0        0        2        1        1        0        1        0        0        0
       nl         0        0        0        0        0        0        1        2        9        7        2        0        0        0        1       10        7        1        0        0        0        0
       pl         7       10       19        0        0        0        0        2        1        1        0        0        0        0        0        0        0        0        0        0        0        0
       pt         0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        7       12       11        4        5
       ro         1        4        5        4        0        0        0        1        1        0        1        0        0        0        1        1        6        8        2        0        4        1
       sk         3        6        1        1        1        0        0        6        4        1        0        0        0        0        1        1       13        1        1        0        0        0
       sl         6        5       10        1        0        0        0       10        4        1        0        0        0        0        1        0        2        0        0        0        0        0

   domain   routed
       bg 113555.73
       cs   128.46
       da    26.38
       de     2.69
       el 86300.70
       en     2.42
       es     2.69
       et    34.60
       fi    34.68
       fr    18.38
       hu    56.10
       it    16.15
       lt    94.41
       nl    22.56
       pl    91.84
       pt    12.26
       ro    62.45
       sk    91.86
       sl    53.38

joint full-width reference: ppl 142.58  (served positions only)
