router ckpt=out/bdh_europarl_poc-ra2-a10-p3_best.pt | routes=[256, 512, 768, 1024, 1280, 1536, 1792, 2048, 2304, 2560, 2816, 3072, 3328, 3584, 3840, 4096, 4352, 4608, 4864, 5120, 5376, 5632] n/head | window=128 tok | 40 crops/domain

confusion (rows=true domain, cols=routed expert):
                 bg       cs       da       de       el       en       es       et       fi       fr       hu       it       lt       nl       pl       pt       ro       sk       sl
       bg        29       10        1        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0
       cs         0        0        0        0        0        0        0        0        0        0        0        0        0        0        0       28       12        0        0        0        0        0
       da         0        0        0        0        0        0        0        1       11        1        3        0        1        1        7        8        3        3        1        0        0        0
       de         0        0        0        0        0        0        0        0        0        0        0        0        8       32        0        0        0        0        0        0        0        0
       el        29       11        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0
       en         0        0        0        0        1       39        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0
       es         0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0       40
       et         0        0        0        0        0        0        0        0        0        1        0        0        0        0        7        4       27        1        0        0        0        0
       fi         0        0        0        0        0        0        0        0        0        1        0        0        0        0        5       15       19        0        0        0        0        0
       fr         0        0        0        1        3        3        0        0        0        0        0        0        0        0        2        3        6       11        6        3        2        0
       hu         0        0        0        0        0        0        0        0        0        0        0        0        0        0        1       33        6        0        0        0        0        0
       it         0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        2        3        2       10       14        6        3
       lt         0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        9       30        0        0        1        0        0
       nl         0        0        1        0        0        0        0        4        7        2        2        0        0        0        8       10        3        2        1        0        0        0
       pl         3        3        5        0        0        0        0        0        1        0        0        0        0        0        0        9       18        0        0        1        0        0
       pt         0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        3        0        1       36
       ro         0        2        0        2        0        0        0        0        0        0        0        0        0        0        0        7       22        3        4        0        0        0
       sk         0        0        0        0        0        0        0        0        0        0        0        0        0        0        0       21       19        0        0        0        0        0
       sl         0        1        0        1        0        0        0        1        0        1        0        0        0        0        0       12       24        0        0        0        0        0

   domain   routed
       bg 113368.96
       cs    92.26
       da    25.83
       de     2.73
       el 85560.69
       en     2.42
       es     5.64
       et    28.36
       fi    27.85
       fr    19.28
       hu    36.66
       it    16.29
       lt    79.43
       nl    21.03
       pl    90.90
       pt    13.27
       ro    57.46
       sk    66.17
       sl    48.46

joint full-width reference: ppl 118.58  (served positions only)
